De;Para
FENASCON/RR [50];FENASCON
FETHERJ [12];FETHE
SCABEL [14];SCABEL
SEACONS/GO [42];SEACONS
SEEAC RS [72];SEEAC
SEEAC PE [87];SEEAC
SEEACEC_ASSEIO GOYTACAZES [71];SEEAC
SEEACMRJ [15];SEEAC
SEMAPI [8];SEMAPI
SIEMACO SÃO PAULO [16];SIEMACO
SIEMACO CAMPINAS [22];SIEMACO
SIEMACO PR [20];SIEMACO
SIEMACO OSASCO [25];SIEMACO
SIEMACO PIRACICABA [68];SIEMACO
SIEMACO GUARULHOS [29];SIEMACO
SIEMACO TABOÃO DA SERRA [31];SIEMACO
SIEMACO ARARAQUARA [67];SIEMACO 
SINDASC - JOINVILLE [73];SINDA
SINDBOC-RN [77];SINDBOC
SINDEAC-MG [3];SINDEAC
SINDECOMPRESTS / AM [5];SINDECOMPRESTS
SINDEEPRES [2];SINDEEPRES
SINDASSEIODUQUECAXIAS SJMERITI [57];SINDIASSEIO
SINDIASSEIO - RS [19];SINDIASSEIO
SINDIASSEIO_METROPOLITANA/BH [34];SINDIASSEIO
SINDIASSEIO SÃO JOSE DOS CAMPOS [70];SINDIASSEIO
SINDIASSEIO-PA [75];SINDIASSEIO
SINDBOMBEIROCIVIL - RJ [60];SINDIBOMBEIROS
SINDBOMBEIROS - ES [46];SINDIBOMBEIROS
SINDIBOMBEIROS - SP [11];SINDIBOMBEIROS
SINDIBOMBEIROS/BA [39];SINDIBOMBEIROS
SINDIBOMBEIROS_RS [83];SINDIBOMBEIROS
SINDICOVI - RJ [1];SINDICOVI
SINDILIMP AGRESTE BA [86];SINDILIMP
SINDILIMP-BA [7];SINDILIMP
SINDILIMPE/ES [18];SINDILIMP
SINDLIMP / RN [40];SINDILIMP
SINDLIMP–FLORIANÓPOLIS–SC [84];SINDILIMP
SINDILIMP CAXIAS DO SUL RS [76];SINDILIMP
SINDLIMP  - BLUMENAU -SC [53];SINDILIMP
SINDISERVICOS/DF [36];SINDISERVICOS
SINEEPRES [4];SINEEPRES
SINETH ASSEIO_EXTREMA [82];SINETH 
SINETUR SEAC SOROCABA [88];SINETUR
SINTACLUNS VSF [27];SINTACLUNS
SINTACLUNS VSA [79];SINTACLUNS
SINTEAC MA [66];SINTE
SINTEG-PB [41];SINTE
SINTEPS-CG/PB [45];SINTE
SINTETEL/SP [6];SINTE
SINTSEP – PI [56];SINTE
SITRAMMG - MOGI GUACU [78];SITRAM
